Наименование товара,Токенизированное наименование,Единица измерения,Цена в чеке,Кол-во единиц,Дата,Регион,kkt,ОКАТО,Товар представитель,Объем,Требуемая упаковка,Цена за требуемую упаковку,Факт упаковка
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,2.548,2019-01-27,"Ульяновская область, г Ульяновск",644424435972901d725b3b7f40691942,73401000000,Бананы,2.55,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.25,2019-01-27,"Ульяновская область, г Ульяновск",644424435972901d725b3b7f40691942,73401000000,Бананы,1.25,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,59.9,0.232,2019-01-27,"Краснодарский край, р-н Темрюкский, г Темрюк",bbeeb1abfe94315a4b1757cc8dc9348a,03251501000,Бананы,0.23,1,59.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,59.9,2.11,2019-01-27,"Краснодарский край, р-н Темрюкский, г Темрюк",bbeeb1abfe94315a4b1757cc8dc9348a,03251501000,Бананы,2.11,1,59.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,59.9,1.126,2019-01-27,"Краснодарский край, р-н Темрюкский, г Темрюк",bbeeb1abfe94315a4b1757cc8dc9348a,03251501000,Бананы,1.13,1,59.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,59.9,1.06,2019-01-27,"Краснодарский край, р-н Темрюкский, г Темрюк",bbeeb1abfe94315a4b1757cc8dc9348a,03251501000,Бананы,1.06,1,59.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,59.9,1.002,2019-01-27,"Краснодарский край, р-н Темрюкский, г Темрюк",bbeeb1abfe94315a4b1757cc8dc9348a,03251501000,Бананы,1.0,1,59.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,68.9,0.95,2019-01-27,"Ростовская область, г Ростов-на-Дону",4797ab0d426c53041fd2994f4ffb4dbf,60401000000,Бананы,0.95,1,68.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,73.6,0.706,2019-01-27,"Ростовская область, г. Ростов-на-Дону",fa55135595d43df2568fea1ce2a39664,60401000000,Бананы,0.71,1,73.6,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,73.6,0.47,2019-01-27,"Ростовская область, г. Ростов-на-Дону",fa55135595d43df2568fea1ce2a39664,60401000000,Бананы,0.47,1,73.6,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,68.9,0.638,2019-01-27,"Ростовская область, г Азов",a360444a60c6f8e478d6901e1b64b997,60404000000,Бананы,0.64,1,68.9,1.0
Бананы 1кг,бананы 1 кг,кг,77.99,0.482,2019-01-27,Г.Москва,f9f6799a513e7c2b648a12527bf6a4d4,45000000000,Бананы,0.48,1,77.99,1.0
